Keyword Stats 2026-03-15 at 21_06_30
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
코코 도르 라벤더	KRW	50	0%	0%	High	97																			
코코 도르 리프레싱 에어	KRW	50	0%	0%	High	72																			
코코 도르 방향제	KRW	50	0%	0%	High	99	144	1041																	
코코 도르 스파 릴렉스	KRW	50	0%	-100%	Unknown																				
코코 도르 에이프릴	KRW	50	∞	0%	High	95																			
코코 도르 에이프릴 프레쉬	KRW	50	0%	0%	High	85	221	1036																	
코코 도르 유해성	KRW	50	-100%	0%	Unknown																				
코코 도르 카네이션 디퓨저	KRW	50	0%	∞	Medium	57																			
코코 도르 크리스마스	KRW	50	0%	0%	High	100																			
코코 도르 크리스마스 디퓨저	KRW	50	0%	0%	High	100																			
코코 도르 편백	KRW	50	0%	0%	High	100																			
코코 도르 프렌치 라벤더	KRW	50	0%	0%	High	81																			
코코 도르 화이트 머스크	KRW	50	0%	0%	High	68																			
쿠팡 디퓨저	KRW	50	0%	0%	High	100	364	1044																	
쿤달 방향제	KRW	50	0%	0%	High	100	175	824																	
쿤달 스톤 디퓨저	KRW	50	0%	0%	High	99																			
쿨티 디퓨저	KRW	50	0%	0%	High	100																			
크리스마스 디퓨저	KRW	50	-90%	0%	High	70																			
타오바오 인테리어 소품	KRW	50	0%	0%	Low	12																			
턴테이블 방향제	KRW	50	0%	0%	High	75																			
텐더 가든 디퓨저	KRW	50	0%	0%	High	100	358	1045																	
트루 동 디퓨저	KRW	50	0%	0%	High	80	463	1143																	
티 디퓨저	KRW	50	0%	0%	High	100																			
퍼퓸 디퓨저	KRW	50	0%	0%	High	99	737	1435																	
페트리 코 디퓨저	KRW	50	0%	0%	High	100	592	1643																	
포시즌 스 호텔 디퓨저	KRW	50	0%	0%	High	71																			
포터블 아로마 디퓨저	KRW	50	0%	0%	Low	0																			
풍수 소품	KRW	50	0%	0%	Low	17																			
풍수 인테리어 소품	KRW	50	0%	0%	High	77	253	891																	
풍자 디퓨저	KRW	50	0%	0%	Medium	43																			
퓨마 방향제	KRW	50	0%	0%	Medium	62																			
플라워 디퓨저	KRW	50	0%	0%	Medium	61																			
플라워 마켓 디퓨저	KRW	50	0%	0%	High	86																			
피오리 디 세타	KRW	50	0%	0%	Medium	46																			
피움 스마트 디퓨저	KRW	50	0%	∞	High	100																			
하바 리움 디퓨저	KRW	50	0%	0%	Low	0																			
하이 센트 디퓨저	KRW	50	∞	0%	High	100																			
하트 디퓨저	KRW	50	0%	∞	Low	0																			
한율 어린 쑥 디퓨저	KRW	50	0%	∞	Low	25																			
해리포터 인테리어 소품	KRW	50	0%	0%	Medium	34																			
해외 인테리어 소품	KRW	50	0%	0%	High	100																			
햅번 샵 인테리어 소품	KRW	50	0%	0%	Medium	51	158	1782																	
향기 뿜뿜 디퓨저	KRW	50	0%	∞	High	99																			
향수 디퓨저	KRW	50	0%	0%	Low	23	474	1038																	
향수 디퓨저 로	KRW	50	0%	0%	Low	7																			
향수 로 디퓨저	KRW	50	0%	0%	Low	17																			
향초 디퓨저	KRW	50	0%	0%	High	70	541	1636																	
허브 타임 디퓨저	KRW	50	0%	0%	Medium	56	467	1150																	
헤어 드라이기 디퓨저	KRW	50	0%	0%	High	90																			
헤어 디퓨저	KRW	50	0%	0%	High	73																			
현관 소품	KRW	50	0%	0%	Low	11																			
현관 인테리어 소품	KRW	50	0%	0%	Medium	64																			
현무암 디퓨저	KRW	50	0%	0%	Medium	36																			
호텔 도슨 디퓨저	KRW	50	0%	0%	High	100	125	1102																	
홀아비 냄새 디퓨저	KRW	50	0%	0%	Medium	66	751	1594																	
홈 인테리어 소품	KRW	50	0%	0%	Medium	61																			
홈 플러스 디퓨저	KRW	50	0%	0%	High	90	336	1040																	
화산석 디퓨저	KRW	50	0%	0%	High	100	452	1091																	
화이트 머스크 디퓨저	KRW	50	0%	0%	High	80	468	1313																	
