Keyword Stats 2026-03-15 at 21_08_07
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
차량 방향제 딥 디크	KRW	50	0%	0%	Low	32																			
차량 석고 방향제	KRW	50	0%	0%	Medium	41	624	1175																	
차량 실내 용품	KRW	50	0%	0%	Low	32																			
차량 실내 인테리어	KRW	50	0%	0%	High	100	92	1447																	
차량 악세사리 용품	KRW	50	0%	0%	High	83	85	1083																	
차량 용품 b2b	KRW	50	0%	0%	Medium	40	773	2342																	
차량 용품 best	KRW	50	0%	0%	High	86	331	849																	
차량 용품 사이트	KRW	50	0%	0%	High	95	414	1333																	
차량 용품 종류	KRW	50	0%	-90%	High	85	69	1215																	
차량 용품 필수	KRW	50	0%	0%	High	74	459	2095																	
차량 용품점	KRW	50	0%	0%	High	74	334	1708																	
차량 인테리어 용품	KRW	50	0%	0%	High	82																			
차량 주차 번호판	KRW	50	0%	0%	High	73																			
차량 튜닝 용품	KRW	50	0%	0%	Low	14																			
차량 편의 용품	KRW	50	0%	0%	High	87	516	1610																	
차량 필수 용품	KRW	50	0%	0%	Medium	59	308	1028																	
차량용 고급 방향제	KRW	50	0%	0%	High	100																			
차량용 방향제 더쿠	KRW	50	0%	0%	High	94																			
차량용 방향제 불독	KRW	50	0%	0%	High	100																			
차량용 석고 방향제	KRW	50	900%	900%	High	68	79	1120																	
차량용 악세사리	KRW	50	900%	900%	High	100	246	978																	
차량용 액세서리	KRW	50	900%	900%	High	100	246	978																	
차량용 용품	KRW	50	0%	0%	High	100																			
차량용 종이 방향제	KRW	50	0%	0%	High	85	476	1556																	
차량용 주차 번호판	KRW	50	0%	0%	High	75																			
차량용 천연 방향제	KRW	50	0%	0%	High	100	591	1272																	
차량용 피톤치드 방향제	KRW	50	0%	∞	High	100																			
첫차 차량 용품	KRW	50	0%	0%	Medium	33																			
청개구리 방향제	KRW	50	0%	0%	High	100	277	673																	
청소기 방향제	KRW	50	0%	0%	Medium	46																			
체사레 방향제	KRW	50	-100%	-100%	Unknown																				
춘식 이 방향제	KRW	50	0%	0%	High	82																			
친환경 방향제	KRW	50	0%	0%	High	82	533	1253																	
카 인테리어 자동차 용품	KRW	50	0%	0%	Low	0																			
카네이션 석고 방향제	KRW	50	∞	0%	Low	3																			
카니발 자동차 용품	KRW	50	0%	0%	High	100	82	1589																	
카니발 차량 용품	KRW	50	0%	0%	High	100																			
카카오 대시 보드	KRW	50	0%	0%	Low	0																			
카카오 모니터 걸이 방향제	KRW	50	-100%	-100%	Unknown																				
카카오 방향제	KRW	50	0%	0%	High	88	123	418																	
카카오 방향제 리필	KRW	50	0%	0%	High	100																			
카카오 차량 방향제	KRW	50	0%	0%	High	74																			
카카오 차량용 방향제	KRW	50	0%	0%	High	100																			
카카오 프렌즈 방향제	KRW	50	0%	0%	High	92																			
카카오 프렌즈 방향제 리필	KRW	50	0%	0%	High	100																			
카카오 프렌즈 차량용 방향제	KRW	50	0%	0%	High	96																			
카페 방향제	KRW	50	0%	0%	High	71																			
캐릭터 방향제	KRW	50	0%	0%	High	83																			
캐릭터 주차 번호판	KRW	50	0%	0%	Low	22																			
캐릭터 차량용 방향제	KRW	50	0%	0%	Medium	62	62	834																	
캐스퍼 차량 용품	KRW	50	0%	0%	High	100	314	633																	
커피 가루 방향제	KRW	50	0%	0%	Low	26																			
커피 방향제	KRW	500	0%	0%	High	68	144	852																	
커피 원두 방향제	KRW	50	0%	0%	Medium	36																			
커피 콩 방향제	KRW	50	0%	0%	Medium	37																			
케미컬 가이 스트리퍼 센트	KRW	50	0%	∞	Medium	43																			
코란도 악세사리	KRW	50	-100%	-100%	Unknown																				
코코 도르 방향제	KRW	50	0%	0%	High	99	144	1041																	
코코넛 방향제	KRW	50	0%	0%	High	100																			
쿤달 차량용 방향제	KRW	50	0%	0%	High	100	109	964																	
클린 코튼 디퓨저	KRW	50	0%	0%	High	100																			
키바 나 시각화	KRW	50	0%	0%	Low	0																			
탈취 방향제	KRW	50	0%	0%	High	100	767	2171																	
탈취제 방향제	KRW	50	0%	0%	High	86	925	2696																	
태양열 방향제	KRW	50	0%	0%	High	90																			
턴테이블 방향제	KRW	50	0%	0%	High	75																			
테슬라 방향제	KRW	50	0%	0%	High	100	302	1284																	
토레스 자동차 용품	KRW	50	0%	0%	High	100																			
토레스 차량 용품	KRW	50	0%	0%	High	80																			
통합 대시 보드	KRW	50	0%	0%	Low	9	728	2869																	
투싼 nx4 차량 용품	KRW	50	0%	0%	High	100																			
투싼 악세사리	KRW	50	0%	0%	High	97	86	909																	
투싼 차량 용품	KRW	50	0%	0%	High	95	92	638																	
트레일 블레이저 차량 용품	KRW	50	0%	0%	Medium	66																			
특이한 차량 용품	KRW	50	0%	0%	High	86																			
파워 bi 대시 보드	KRW	50	0%	0%	Low	2																			
판매 대시 보드	KRW	50	0%	0%	Low	0																			
팰리 세이드 차량 용품	KRW	50	0%	0%	High	100	119	847																	
페브리즈 방향제	KRW	50	0%	0%	High	98	275	1011																	
페브리즈 차량용 방향제	KRW	50	0%	0%	High	99	136	817																	
페브리즈 차량용 방향제 리필	KRW	50	0%	0%	Low	0																			
페브리즈 화장실 방향제	KRW	50	0%	0%	Medium	60	78	1019																	
펭수 방향제	KRW	50	0%	0%	Low	7																			
펭수 차량용 방향제	KRW	50	0%	0%	High	100																			
편백 방향제	KRW	50	0%	0%	High	100	521	1398																	
포포 베 방향제	KRW	50	0%	0%	Low	0																			
포포 베 차량용 방향제	KRW	50	0%	0%	High	83																			
포푸리 방향제	KRW	50	0%	0%	Medium	48	451	1575																	
퓨마 방향제	KRW	50	0%	0%	Medium	62																			
프렌치 불독 방향제	KRW	50	∞	0%	Low	0																			
프로펠러 방향제	KRW	50	0%	0%	High	76	85	1192																	
플래트 방향제	KRW	50	0%	0%	Medium	56	403	983																	
피규어 방향제	KRW	50	0%	0%	High	81																			
피톤치드 방향제	KRW	50	0%	0%	High	100	326	1391																	
필수 자동차 용품	KRW	50	0%	0%	Medium	52																			
필수 차량 용품	KRW	50	0%	0%	Medium	61																			
하이 센트 디퓨저	KRW	50	∞	0%	High	100																			
하이 센트 방향제	KRW	50	0%	0%	High	91																			
한방 방향제	KRW	50	0%	0%	High	100																			
한복 방향제	KRW	50	0%	0%	Low	11																			
한약 방향제	KRW	50	0%	0%	Low	31																			
향수 로 차량 방향제	KRW	50	0%	0%	Unknown																				
향수 방향제	KRW	50	0%	0%	Medium	66	75	1337																	
허브 방향제	KRW	50	0%	0%	High	71																			
헤이즐넛 방향제	KRW	50	0%	0%	High	100																			
헬로 키티 방향제	KRW	50	0%	0%	High	79																			
헬리콥터 방향제	KRW	50	0%	0%	High	95																			
호텔 방향제	KRW	50	0%	0%	High	100	581	5107																	
홈 플러스 자동차 용품	KRW	50	0%	0%	High	71																			
화물 자동차 용품	KRW	50	0%	0%	High	100																			
화장실 자동 방향제	KRW	50	0%	0%	Medium	64	386	1908																	
화장실 탈취제 방향제	KRW	50	0%	0%	Medium	64																			
회전 번호판	KRW	50	0%	0%	Low	7																			
